Day,Rain (inches),Estimated,Snow,Warning
10/01/2006,0.00,,,
10/02/2006,0.00,,,
10/03/2006,0.00,,,
10/04/2006,0.00,,,
10/05/2006,0.00,,,
10/06/2006,0.24,,,
10/07/2006,0.00,,,
10/08/2006,0.03,,,
10/09/2006,0.00,,,
10/10/2006,0.00,,,
10/11/2006,0.00,,,
10/12/2006,0.00,,,
10/13/2006,0.00,,,
10/14/2006,0.02,,,
10/15/2006,0.64,,,
10/16/2006,0.14,,,
10/17/2006,0.00,,,
10/18/2006,0.17,,,
10/19/2006,0.10,,,
10/20/2006,0.00,,,
10/21/2006,0.00,,,
10/22/2006,0.01,,,
10/23/2006,0.00,,,
10/24/2006,0.02,,,
10/25/2006,0.00,,,
10/26/2006,0.00,,,
10/27/2006,0.00,,,
10/28/2006,0.01,,,
10/29/2006,0.03,,,
10/30/2006,0.00,,,
10/31/2006,0.00,,,
11/01/2006,0.00,,,
11/02/2006,0.89,,,
11/03/2006,0.61,,,
11/04/2006,1.24,,,
11/05/2006,1.06,,,
11/06/2006,4.21,,,
11/07/2006,1.29,,,
11/08/2006,0.33,,,
11/09/2006,0.36,,,
11/10/2006,1.09,,,
11/11/2006,0.23,,,
11/12/2006,1.03,,,
11/13/2006,0.23,,,
11/14/2006,0.00,,,
11/15/2006,0.44,,,
11/16/2006,0.00,,,
11/17/2006,0.00,,,
11/18/2006,0.00,,,
11/19/2006,0.42,,,
11/20/2006,0.39,,,
11/21/2006,0.92,,,
11/22/2006,0.43,,,
11/23/2006,1.07,,,
11/24/2006,0.16,,,
11/25/2006,0.01,,,
11/26/2006,0.42,,,
11/27/2006,0.01,,,
11/28/2006,0.00,,,
11/29/2006,0.24,,,
11/30/2006,0.15,,,
12/01/2006,0.00,,,
12/02/2006,0.00,,,
12/03/2006,0.01,,,
12/04/2006,0.02,,,
12/05/2006,0.02,,,
12/06/2006,0.00,,,
12/07/2006,0.00,,,
12/08/2006,0.03,,,
12/09/2006,0.09,,,
12/10/2006,0.23,,,
12/11/2006,0.84,,,
12/12/2006,0.51,,,
12/13/2006,1.07,,,
12/14/2006,1.51,,,
12/15/2006,0.39,,,
12/16/2006,0.00,,,
12/17/2006,0.01,,,
